ObjectId,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
21,1,522,-84.10109997,-84.2256116867:-83.9765882492,30.26428905,30.1404727831:30.3881053143,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00039923,413,Wakulla,Florida,12,129,12129,32143,52.20000000,30776,49.90000000,25224,4464,191,172,18,1016,148,559,16992,13784,1740,2000,1951,1905,1770,4276,4778,5167,3850,2123,958,258,38.70000000,38.20000000,39.30000000,10490,2.61000000,1153,1186,2439,3180,381,912,7591,3.03000000,12804,2314,8469,2021,171.00000000,181.00000000,1998.00000000,13322.00000000,616.28000000,5.31295513,2142714267.09179688,630290.72924329,-84.1010999680723,30.2642890489216
22,1,525,-84.10109997,-84.2256116867:-83.9765882492,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,414,Leon,Florida,12,073,12073,288630,411.10000000,275487,392.40000000,173480,83520,775,8053,140,15361,3397,6122,131134,144353,15350,14877,14690,27231,43722,39954,30360,33593,29730,14633,7930,3417,29.70000000,28.90000000,30.60000000,110945,2.35000000,14548,18818,17190,23484,2366,10094,60908,2.94000000,124136,13191,60393,50552,284.00000000,286.00000000,6563.00000000,13492.00000000,702.05000000,2.51606039,2455146338.78320313,296161.60295800,-84.1010999680723,30.5119215798839
23,1,570,-83.85207653,-83.9765882492:-83.7275648117,30.01665652,29.8928402519:30.1404727831,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2328,Taylor,Florida,12,123,12123,22641,21.60000000,22570,21.50000000,16964,4669,180,153,6,777,205,393,12554,10016,1289,1193,1198,1256,1458,3013,3045,3472,3118,2152,1095,281,41.20000000,39.60000000,43.80000000,7920,2.44000000,972,1160,1330,2459,269,743,5389,2.93000000,11004,3084,6059,1861,181.00000000,207.00000000,2270.00000000,32160.00000000,1048.68000000,4.32986716,3637198521.32031250,518686.65395378,-83.8520765301958,30.0166565178778
24,1,571,-83.85207653,-83.9765882492:-83.7275648117,30.26428905,30.1404727831:30.3881053143,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2328,Taylor,Florida,12,123,12123,22641,21.60000000,22570,21.50000000,16964,4669,180,153,6,777,205,393,12554,10016,1289,1193,1198,1256,1458,3013,3045,3472,3118,2152,1095,281,41.20000000,39.60000000,43.80000000,7920,2.44000000,972,1160,1330,2459,269,743,5389,2.93000000,11004,3084,6059,1861,181.00000000,207.00000000,2270.00000000,32160.00000000,1048.68000000,4.32986716,3637198521.32031250,518686.65395378,-83.8520765301958,30.2642890489216
25,1,572,-83.85207653,-83.9765882492:-83.7275648117,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,415,Jefferson,Florida,12,065,12065,14547,23.80000000,14761,24.10000000,8912,5340,37,57,5,546,221,189,7727,7034,777,766,756,765,810,1769,1920,2427,2339,1413,724,295,44.10000000,42.20000000,46.30000000,5646,2.38000000,742,847,872,1798,136,489,3798,2.89000000,6632,986,4366,1280,617.00000000,210.00000000,24608.00000000,78292.00000000,611.77000000,2.46115680,2138568399.85156250,296534.38274197,-83.8520765301958,30.5119215798839
26,1,615,-83.60305309,-83.7275648117:-83.4785413742,30.01665652,29.8928402519:30.1404727831,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2328,Taylor,Florida,12,123,12123,22641,21.60000000,22570,21.50000000,16964,4669,180,153,6,777,205,393,12554,10016,1289,1193,1198,1256,1458,3013,3045,3472,3118,2152,1095,281,41.20000000,39.60000000,43.80000000,7920,2.44000000,972,1160,1330,2459,269,743,5389,2.93000000,11004,3084,6059,1861,181.00000000,207.00000000,2270.00000000,32160.00000000,1048.68000000,4.32986716,3637198521.32031250,518686.65395378,-83.6030530932176,30.0166565178778
27,1,616,-83.60305309,-83.7275648117:-83.4785413742,30.26428905,30.1404727831:30.3881053143,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2328,Taylor,Florida,12,123,12123,22641,21.60000000,22570,21.50000000,16964,4669,180,153,6,777,205,393,12554,10016,1289,1193,1198,1256,1458,3013,3045,3472,3118,2152,1095,281,41.20000000,39.60000000,43.80000000,7920,2.44000000,972,1160,1330,2459,269,743,5389,2.93000000,11004,3084,6059,1861,181.00000000,207.00000000,2270.00000000,32160.00000000,1048.68000000,4.32986716,3637198521.32031250,518686.65395378,-83.6030530932176,30.2642890489216
28,1,617,-83.60305309,-83.7275648117:-83.4785413742,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2333,Madison,Florida,12,079,12079,18862,26.40000000,19224,26.90000000,11070,7460,93,47,0,899,302,252,10035,9189,1215,1075,1100,1346,1279,2393,2354,2787,2630,1736,921,388,40.20000000,38.60000000,42.10000000,6985,2.48000000,890,1038,1143,2036,163,830,4778,3.00000000,8481,1496,5187,1798,669.00000000,214.00000000,38497.00000000,77463.00000000,715.73000000,2.17134081,2502319069.66601563,254647.72891777,-83.6030530932176,30.5119215798839
29,1,657,-82.85598278,-82.9804944992:-82.7314710617,29.27375892,29.1499426584:29.3975751896,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2316,Levy,Florida,12,075,12075,41097,36.20000000,40801,36.00000000,34876,3832,170,229,24,3047,879,791,20078,20723,2299,2300,2426,2591,2086,4097,4594,6190,6304,4810,2431,673,45.00000000,44.30000000,45.50000000,16404,2.45000000,2023,2234,2759,5311,478,1349,11067,2.91000000,20123,3719,13155,3249,1053.00000000,159.00000000,59835.00000000,76335.00000000,1134.28000000,8.80001867,3878245959.93164063,1042816.23450187,-82.8559827804865,29.2737589242642
30,1,658,-82.85598278,-82.9804944992:-82.7314710617,29.52139146,29.3975751896:29.6452077207,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,2316,Levy,Florida,12,075,12075,41097,36.20000000,40801,36.00000000,34876,3832,170,229,24,3047,879,791,20078,20723,2299,2300,2426,2591,2086,4097,4594,6190,6304,4810,2431,673,45.00000000,44.30000000,45.50000000,16404,2.45000000,2023,2234,2759,5311,478,1349,11067,2.91000000,20123,3719,13155,3249,1053.00000000,159.00000000,59835.00000000,76335.00000000,1134.28000000,8.80001867,3878245959.93164063,1042816.23450187,-82.8559827804865,29.5213914549563
